id,produto,quantidade,preço,data
67,teclado,15,18.70,14/12/2022
11,cadeira,17,22.90,27/11/2023
56,caneta,2,3.90,18/10/2022
29,mesa,1,50.00,19/01/2023
39,livro,33,12.00,03/06/2023
82,copo,8,1.99,10/05/2022
21,garrafa,25,4.50,07/07/2023
93,planta,5,12.99,20/08/2023
77,quadro,4,18.00,15/09/2023
104,relógio,10,35.00,21/10/2023
37,cama,3,100.00,05/12/2022
88,travesseiro,20,10.99,14/04/2023
69,abajur,12,29.90,26/02/2023
101,tapete,6,8.00,08/03/2023
52,cadeado,30,6.99,02/01/2023
42,espelho,8,15.00,29/07/2022
33,pente,11,3.50,14/11/2023
73,toalha,14,7.99,11/06/2023
22,escova,7,2.00,04/04/2023
85,sabonete,20,0.50,20/05/2022
98,shampoo,9,9.00,30/08/2023
48,condicionador,18,12.00,06/09/2022
57,creme dental,5,4.50,25/12/2022
63,escova de dente,22,1.50,15/02/2023
111,perfume,13,50.00,12/10/2022
79,desodorante,16,8.99,19/11/2023
47,maquiagem,8,25.00,27/09/2023
112,papel higiênico,24,3.99,02/08/2023
31,sabão em pó,19,7.90,03/05/2022
44,amaciante,10,10.00,08/04/2023
95,lustra móveis,4,5.99,17/09/2023
75,água sanitária,7,2.99,01/01/2023
14,cadeado,5,14.00,16/08/2023
15,canivete,8,24.99,30/11/2023
16,lanterna,12,19.50,05/04/2023
17,kit de ferramentas,4,49.99,22/09/2023
18,chave de fenda,10,5.50,12/12/2023
19,marreta,3,39.99,20/03/2023
20,serrote,6,12.99,08/06/2023
22,tesoura de poda,7,8.75,14/07/2023
23,pregos,25,0.99,30/01/2023
24,trena,2,16.00,28/02/2023
25,nível a laser,1,79.99,11/08/2023
26,kit de reparo de pneus,5,12.49,19/06/2023
27,lubrificante,9,6.99,06/05/2023
28,adesivo instantâneo,11,3.00,21/04/2023
29,rolo de pintura,18,7.25,02/11/2023
30,espátula,14,2.50,10/10/2023
31,baldes,20,5.99,07/09/2023
32,luvas de trabalho,8,9.90,29/08/2023
33,óculos de proteção,3,12.99,04/07/2023
34,máscara de solda,6,29.00,18/03/2023
35,boné de segurança,10,6.50,16/05/2023
36,botas de segurança,7,54.99,26/01/2023
37,colete de segurança,15,19.99,23/12/2023
38,capacete,4,29.99,12/02/2023
39,cones de sinalização,3,8.00,14/06/2023
40,placas de sinalização,2,17.50,03/04/2023
41,extintor de incêndio,1,99.00,05/11/2023
42,mangueira de incêndio,5,69.99,28/09/2023
43,alarme de incêndio,2,59.99,17/07/2023
44,sirene de incêndio,1,39.99,22/08/2023
45,sprinklers,6,29.99,29/05/2023
46,escada de incêndio,3,199.99,11/04/2023
47,plano de evacuação,1,0.99,08/03/2023
48,kit de primeiros socorros,4,29.99,03/02/2023
49,telefone de emergência,2,79.99,16/10/2023
50,luminária de emergência,3,15.99,09/08/2023
